user	clicked_news	candidate_news	clicked
1954	N40446 N122359 N31305 N73582 N71586 N109948 N90185 N23371 N48971 N16078 N128965 N64496 N12015 N94639 N46786 N43585 N111531 N454 N86580 N11971 N74795 N62401 N30827 N32925 N117830 N79505 N52911 N65970 N88769 N49262 N126262 N18601 N107441 N71665 N127330 N477 N11266 N79909 N83933 N104737 N46662 N41702 N85063 N58200 N120854 N5653 N26863 N58227 N40009 N107322 N83062 N24099	N25020 N7041 N79081 N64149 N63120	1 0 0 0 0
605	N51082 N102643 N88075 N59447 N78130 N76823 N26745 N83462 N19175 N24446 N10917 N12070 N20428 N12445 N116442 N14205 N37271 N82045 N74996 N48114 N41702 N122784 N64450 N45529 N26986 N95088 N114616 N83623 N92073 N45234 N71843 N41525 N18720 N118153 N20749 N71843 N76141 N64300 N1886 N122427 N79026 N10490 N15167 N47589 N95250 N58220 N97080 N32253 N121652 N112615 N81058 N111058 N45543 N31193 N86409 N97020 N109512 N12893 N36704	N25492 N7041 N79990 N59303 N10470	1 0 0 0 0
1427	N21091 N86691 N111293 N76561 N30249 N24738 N122303 N21091 N9375 N49079 N76171 N35368 N76970 N63212 N13842 N93328 N114735 N93328 N93328 N86691 N109521 N19519 N8412 N9329 N1940 N19544 N73816 N123740 N92079 N108548 N21880 N36911 N54360 N43829 N121550 N112751 N25078 N24374 N13865 N128483 N33735 N68580 N90939 N1713 N73183 N47967 N54753 N84423 N51166 N78377	N101624 N74703 N7041 N91387 N17547	1 0 0 0 0
881	N16115 N60165 N26374 N71068 N4256 N78408 N53897 N72212 N127145 N20441 N61802 N43154 N83823 N86715 N99204 N93006 N120616 N36160 N12614 N84662 N103570 N53418 N55333 N103473 N112787 N63717 N99157 N9690 N9690 N31649 N64769 N43402 N23264 N63717 N104477 N61474 N10682 N45298 N29574 N36590 N113858 N73845 N21855 N51575 N105097 N116442 N116442 N113907 N29340 N53766 N54553 N93066 N77237 N63281 N23666 N21855 N52569 N90645 N124339 N101984 N20749 N122808 N122808 N122054 N88592 N39270 N10085 N100519 N14904 N117365 N78150 N114787 N7393 N76306 N129284 N19543	N27061 N121426 N31054 N7082 N31766	1 0 0 0 0
1507	N91024 N88997 N7769 N56381 N31407 N114156 N101251 N48062 N105692 N2430 N10901 N48207 N66983 N65736 N111923 N110700 N33741 N62205 N21689 N24738 N35224 N86523 N98596 N122171 N94953 N68771 N55253 N106272 N85005 N25216 N22978 N100843 N127640 N56610 N63222 N2141 N43205 N127916 N10836 N2536 N3176 N30089 N37650 N34001 N106217 N61145 N34947 N44759 N120885 N66277 N74455 N28739 N2959 N98330 N123264 N1409 N87732 N54723 N127911 N10869 N62291 N49337 N4660 N64210 N89892 N55625 N107594 N24556 N3565 N42094 N93102 N103357 N116703 N89398 N88635 N15922 N49314 N127530 N104912 N60309 N14648 N62420 N9473 N43764 N83465 N44660 N95780 N82603 N78180 N105418 N84120 N104883 N5524 N47269 N80212 N127487 N97319 N29354 N2861 N117511 N44781 N114234 N129226 N99004 N110237 N23122 N104873 N74643 N65690 N96533 N31595 N29039 N62704 N69228 N42495 N75858 N110092 N1600 N14015 N2035 N29221 N124990 N66482 N89054 N107516 N115294 N23594 N88330 N92048 N99514 N16510 N88421 N37256 N96884 N25140 N38027 N9288 N112205 N67131 N32073 N11266 N97302 N67051 N71242 N53116 N49889 N119087 N57235 N54937 N22458 N11946 N30819 N111873 N18735 N128738 N87236 N68580 N3459 N39567 N13994 N75220 N105058 N106889 N10793 N50064 N12027 N85625 N29522 N13743 N122765 N47967 N52547 N9757 N66776 N38254 N54264 N18625 N56221 N61044	N39610 N30812 N31754 N37930 N56221	1 0 0 0 0
1137	N68651 N13865 N68651 N92008 N78130 N49038 N8995 N85893 N58200 N18720 N8399 N88592 N54731 N56313 N68580 N1886 N73137 N81364 N120031 N99797 N78609 N20901 N5876 N55437 N1014 N26863 N47834 N26863 N26863 N53650 N116356 N59936 N1960 N110982 N34516 N8904 N22660 N51279 N67369 N50831 N48501 N111006 N101119 N115958 N123455	N9935 N31486 N65783 N79990 N129522	1 0 0 0 0
804	N6718 N102417 N81899 N13554 N55635 N129378 N65275 N738 N63792 N43428 N95420 N62420 N14611 N80126 N72579 N79285 N126296 N102039 N48622 N129836 N44148 N7553 N71252 N25166 N110560 N28812 N23264 N8991 N14571 N5992 N93066 N37271 N74324 N16214 N126955 N97784 N33198 N52646 N104558 N95411 N73137 N58220 N123548 N109371 N84423 N76275 N44619 N37509	N35275 N104437 N71222 N91568 N65783	1 0 0 0 0
78	N12326 N65119 N9375 N32450 N71082 N124922 N101377 N124243 N117275 N60552 N53214 N108284 N48457 N19937 N107135 N93328 N120951 N39641 N104347 N28921 N33446 N11849 N67446 N95394 N51724 N83253 N32773 N34505 N102743 N127040 N71068 N1296 N1388 N111503 N84796 N74391 N29910 N36826 N31912 N44660 N93049 N121025 N71665 N24786 N99204 N62463 N81449 N82919 N11266 N7553 N70516 N129624 N104737 N64490 N72976 N107516 N3285 N71977 N114571 N11841 N103327 N37772 N31079 N85063 N116989 N12288 N110532 N16620 N126955 N51229 N104498 N3973 N18720 N58200 N103116 N22259 N6042 N51266 N94706 N120561 N126742 N1886 N33215 N127754 N91968 N70022 N5668 N1713 N20901 N7046 N45599 N33153 N120031 N127806 N114787 N30845 N82055 N48608 N48501 N104437	N54797 N30791 N64021 N104610 N120612	1 0 0 0 0
628	N53796 N88258 N44955 N117681 N104081 N87211 N94510 N91458 N16078 N113547 N113273 N48412 N80545 N52182 N3616 N37069 N130269 N72571 N72505 N127780 N58992 N45706 N58732 N29153 N107876 N738 N69442 N102876 N102876 N102876 N80126 N4289 N62360 N98403 N18399 N115359 N35800 N104029 N110870 N112901 N59090 N118005 N9799 N53706 N117074 N107264 N93987 N39650 N96713 N104277 N18515 N84799 N97387 N54393 N41683 N15007 N71643 N88787 N73895 N73228 N67051 N61321 N33851 N10187 N74205 N96108 N64141 N58200 N77135 N46892 N89509 N18904 N90966 N71092 N40765 N112731 N66700 N76785 N1960 N103432 N123548 N67533 N114787 N81058 N8904 N116736 N75342 N41709 N101759 N1490 N95066 N101083 N42592 N76810 N116904	N118589 N65783 N32209 N103397 N76810	1 0 0 0 0
1499	N7154 N104299 N105630 N46903 N92279 N123189 N104081 N47349 N122729 N26421 N60853 N128643 N116695 N16894 N24738 N47323 N35362 N96486 N119367 N88290 N110630 N47639 N43826 N21244 N130269 N50489 N16463 N454 N5305 N45706 N126328 N107215 N63011 N72505 N127631 N19557 N125282 N54042 N49623 N17987 N11663 N114735 N34389 N8676 N121394 N54723 N55635 N7992 N71068 N62880 N49262 N99962 N112665 N26621 N86006 N31304 N129412 N25463 N95420 N98573 N58318 N67133 N73505 N68426 N18399 N43358 N79746 N102399 N81080 N122167 N79724 N23898 N104927 N9473 N3948 N93049 N60132 N124506 N122671 N68960 N36573 N36573 N77566 N73963 N84406 N22642 N129836 N64159 N121964 N56204 N129892 N66350 N80027 N61712 N34519 N72590 N6846 N21880 N114335 N63174 N118005 N18389 N28812 N58112 N51431 N84454 N104737 N82746 N98095 N100670 N71912 N24446 N12070 N108312 N45529 N41702 N78130 N107191 N85063 N67911 N96539 N95088 N59033 N93636 N81364 N85924 N79026 N51804 N120854 N120031 N5653 N71022 N40765 N40009 N58220 N126027 N43087 N101806 N78008 N94230 N82055 N84433 N108063 N94901 N115695 N29760 N50536 N25492 N107862 N50831 N7041	N95605 N27933 N18956 N92613 N85504	1 0 0 0 0
